127.0.0.1 - - [09/Mar/2023:10:44:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:44:33 +0900] "GET /SemiProject/test.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:02 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:03 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:03 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:04 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:04 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:04 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:04 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:04 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:05 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:05 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:05 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:45:05 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 404 820
