,item_num,rivew,rivew_date
0,1,"독일 일상에서 가장 보편적으로 많이 먹는 빵입니다.
오븐에구워 바로 먹는 그 맛에 거의 매일아침으로 잘 먹고있습니다.",2023.03.06
1,1,맛있음. 뜯어먹기 좋고 아주 아주 만족함 또 사먹을 듯,2023.03.06
2,1,아이 아침대용,2023.03.05
3,1,바삭바삭하고 속은 부드러워요,2023.03.04
4,1,악소 오랜만에구입ㅇㅇ,2023.03.03
5,1,처음 구매 간단한 아침식사로 담백해서 좋을것 같아요,2023.02.28
6,1,겉은 바삭 속은 폭신 좋습니다,2023.02.28
7,1,양도 많고 맛도 좋아요,2023.02.26
8,1,맛있을 것 같아요. 바게트 느낌이예요.,2023.02.25
9,1,동그란 빵. 반드시 토스터나 에프 추천합니다,2023.02.24
10,2,가격이사악하지만간편하내ㅡ니요 아이가좋아하구요ㅠㅠ,2023.03.09
11,2,처음 주문해봄 간편하고 맛있어요 달달,2023.03.07
12,2,프렌치토스트를 워낙좋아하는데요 이것도 부드럽고 카라멜부어 먹으니 더 맛있습니다,2023.03.06
13,2,간식으로 준비해봤어요,2023.03.06
14,2,"아이폰보다 작아요
크기보고 너무 어이없어서!!!",2023.03.05
15,2,맛있는데 비싸네요. 다신 안시킬듯,2023.03.05
16,2,깜짝 놀랐어요ㆍ아직 먹어보진 않았지만 가격에 비해 양이 너무 적은거 아닌가요?세배는 뻥튀기된 가격인듯ㆍ,2023.03.04
17,2,가격대비 진짜 적네요,2023.03.04
18,2,"피카드 크로와상 뺑오쇼콜라까지는 성공적이었는데,,

이건 너무했네요. 
저가격에 두조각,,, 혹시 카라멜시럽을 산건가 싶기도 하고,,,
한조각은 그럭저럭 먹고,,, 나머지 한조각은 기름인지 버터인지 알수없는 오일에 듬뿍 절여져서 왔네요. 

저 컬리매니아인데,, 이런건 좀 걸러주세요-",2023.03.03
19,2,간편하고 맛있어요. 약이 적은것같이 보이지만 카러멜소스랑 같이 먹으니 꽤 배부르더라구요. 가격이 좀 비싸지만 재구매할 의사있어요,2023.03.03
20,3,"훕훕베이글은 일단 베이글 자체가 건강한 재료를 이용해서 만들었다는 느낌이 있어요. 통밀 베이글도 있고 기본적으로 갈색 설탕을 사용하며 다른 첨가물이 없기 때문이죠!!

플레인처럼 기본 베이글류는 담백하니 개인의 취향에 따라 샌드위치를 만들거나 간단하게 크림치즈와 잼을 발라 즐길 수도 있고, 이렇게 토핑이 첨가된 베이글은 간편하고 맛있게 바로 맛있게 먹을 수 있어서 좋아요.

컬리의 샛별 배송으로 배송받은 그대로 드셔도 맛있지만, 저처럼 에어프라이어에 살짝 돌려서 잘린 단면만 바삭하게 구워드시면 재료의 맛들은 남으면서 식감을 살릴 수 있어서 더욱 맛있게 즐기실 수 있습니다.

참고로 첨부한 사진의 베이글은 가로로 단면을 잘라주고 에어프라이어 190도에 4-5분 정도 돌렸습니다.
이렇게 돌리면 겉의 빵은 그대로 쫄깃하고 안의 속 재료도 구워짐 없이 그대로 맛이 남아있고, 단면의 빵 부분만 살짝 바삭해져요. 정말 훨씬 더 맛있습니다!
훕훕이 가성비 최고의 베이글이에요!!! 구매 강추입니다!!",2022.04.19
21,3,맛있어요 또구매할께요,2023.03.09
22,3,계속재주문 할생각입니다,2023.03.09
23,3,여기 제품 맛있어요,2023.03.09
24,3,배송 잘 받았습니다~,2023.03.09
25,3,늘 준비하는 상품이죠,2023.03.09
26,3,훕훕베이글 블베 무화과 짱,2023.03.09
27,3,훕훕 최애 맛이 티라미수인데 이전에는 없었는데 생겼네요. 티라미수 맛 너무 좋아요 없더지지 말기를,2023.03.09
28,3,블루베리 제일 맛있어요,2023.03.09
29,3,말랑쫄깃 식감너므젛아요맛나요,2023.03.09
30,4,"쫀득하니 기본에 충실하고 통밀이라 건강한 베이글 입니다. 다른 판매중인 베이글보다 가격도 저렴한 편이라 자주 사게 되네요.

베이글 샌드위치로도, 데워서 크림치즈에 발라서만 먹어도 정말 맛있습니다.

베이글 냉동보관
-베이글을 절반으로 미리 잘라 보관해두면 나중에 먹기 매우 편리해요. 저는 거기에 또 절반 잘라서 한번에 반개 씩 먹어요:)

베이글 샌드위치
-냉동해둔 베이글을 에어프라이기에 180도 5-6분 데워요.
-베이글 위아래면에 땅콩스프레드, 홀그레인 머스타드 등 기호에 맞게 스프레드를 발라줍니다.
- 잘 씻어둔 양상추나 로메인을 채우고
- 계란 후라이, 치즈로 속을 채워주면 맛있고 간단한 베이글 샌드위치 완성!

그 외 퀘스크렘 크림치즈만 듬뿍발라 먹어도 너무 너무 맛나요",2022.07.09
