,item_name,price,item_img,sub_title,info_img,seller,package_type,package_detail,sell_unit,weight,origin,allergy,warning,item_detail,category
0,[다미원] 촉촉한 반건조 오징어 330g (3미),"8,000","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/b38b2cb8-5b02-4a3e-a526-c3e0a0012b75.jpg",,0,컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,330g (3미),상품설명/상세정보 참조,"- 본 제품은 고등어, 게, 새우와 같은 제조시설에서 제조",수령일 포함 365일 이상 남은 제품을 보내 드립니다. (총 유통기한 730일),"꼬들하고 쫄깃한 매력
[다미원] 촉촉한
반건조 오징어 (3미)
겉만 보면 꼬득하게 말린 것처럼 보이지만, 촉촉한 속살을 숨긴 반건조 오징어. 쫄깃함과 부드러움을 동시에 느낄 수 있어 즐겨 찾는 분들이 많을 거예요. 이번에 소개할 상품은 부담 없이 즐기기 좋은 3마리 구성의 반건조 오징어입니다. 신선한 원양산 오징어를 깔끔하게 손질한 뒤, 청결한 실내 공간에서 일정한 온도를 유지하며 건조했어요. 그대로 구워 간식이나 술안주로 즐겨도 좋고, 오징어 볶음, 오징어 무국 등 요리에도 활용할 수 있답니다.
Kurly's Check Point
Kurly’s Tip
보관법
?-18℃에서 냉동 보관해 주세요.
해동법
?조리 전 냉장고나 실온에서 충분히 해동해 주세요.
조리법
?프라이팬 조리 시 : 해동한 오징어를 팬에 올리고 약불에서 살짝 구워 주세요.
?에어프라이어에 조리 시 : 해동한 오징어에 칼집을 내어 올리브유를 바른 후, 180~200℃에 15분 가량 구우면 겉은 바삭하고 속은 말랑하게 즐길 수 있어요.
활용팁
?마요네즈에 송송 썰은 청양 고추와 약간의 간장을 넣으면 고소한 디핑 소스가 됩니다. 가볍게 구운 반건조 오징어를 살짝 찢어 소스에 찍어 드세요.
?칼집을 낸 반건조 오징어에 녹인 버터와 꿀을 섞어 골고루 발라 주세요. 프라이팬에서 노릇노릇해질 때까지 굽거나, 에어프라이어에서 180℃로 8~10분 정도 두면 달콤짭짤한 버터 구이 오징어가 완성됩니다.
Tip. 파슬리나 바질을 함께 섞어 바르면 더욱 맛있어요.
About Brand
다미원은 숙성 및 건조, 손질한 생선을 전문적으로 생산하는 수산물 기업이에요. 20여 년의 노하우를 기반으로, 원물 선별부터, 생산, 유통에 이르기까지 꼼꼼하게 관리하고 있지요. 정직과 투명을 최우선 기업 이념으로 삼고 있기에, 내 가족에게 권할 수 있는 안전하고 깨끗한 상품만을 소개하고 있답니다. 다미원이 선보이는 안전한 수산물, 컬리에서 만나보세요.",seafood
1,[다미원] 국산 촉촉한 반건조 오징어 특 320g (2미),"8,450","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/9494fe3d-1bd4-4f22-8900-94d9000fcd4a.jpg",입안 가득 즐기는 두툼한 식감,1,컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,320g(2미),상품설명/상세정보 참조,"- 본 제품은 고등어, 게, 새우와 같은 제조시설에서 제조",수령일 포함 365일 이상 남은 제품을 보내 드립니다. (총 유통기한 730일),"입안 가득 즐기는 두툼한 식감
[다미원] 촉촉한 국산
반건조 오징어 특 (2미)
겉만 보면 꼬득하게 말린 것처럼 보이지만, 촉촉한 속살을 숨긴 반건조 오징어. 쫄깃함과 부드러움을 동시에 느낄 수 있어 즐겨 찾는 분들이 많을 거예요. 이번에 소개할 상품은 큼지막한 특 사이즈로 준비한 반건조 오징어입니다. 신선한 국산 오징어를 깔끔하게 손질한 뒤, 청결한 실내 공간에서 일정한 온도를 유지하며 건조했어요. 그대로 구워 간식이나 술안주로 즐겨도 좋고, 오징어 볶음, 오징어 무국 등 요리에도 활용할 수 있답니다.
Kurly's Check Point
Kurly’s Tip
보관법
?-18℃에서 냉동 보관해 주세요.
해동법
?조리 전 냉장고나 실온에서 충분히 해동해 주세요.
조리법
?프라이팬 조리 시 : 해동한 오징어를 팬에 올리고 약불에서 살짝 구워 주세요.
?에어프라이어에 조리 시 : 해동한 오징어에 칼집을 내어 올리브유를 바른 후, 180~200℃에 15분 가량 구우면 겉은 바삭하고 속은 말랑하게 즐길 수 있어요.
활용팁
?마요네즈에 송송 썰은 청양 고추와 약간의 간장을 넣으면 고소한 디핑 소스가 됩니다. 가볍게 구운 반건조 오징어를 살짝 찢어 소스에 찍어 드세요.
?칼집을 낸 반건조 오징어에 녹인 버터와 꿀을 섞어 골고루 발라 주세요. 프라이팬에서 노릇노릇해질 때까지 굽거나, 에어프라이어에서 180℃로 8~10분 정도 두면 달콤짭짤한 버터 구이 오징어가 완성됩니다.
Tip. 파슬리나 바질을 함께 섞어 바르면 더욱 맛있어요.
About Brand
다미원은 숙성 및 건조, 손질한 생선을 전문적으로 생산하는 수산물 기업이에요. 20여 년의 노하우를 기반으로, 원물 선별부터, 생산, 유통에 이르기까지 꼼꼼하게 관리하고 있지요. 정직과 투명을 최우선 기업 이념으로 삼고 있기에, 내 가족에게 권할 수 있는 안전하고 깨끗한 상품만을 소개하고 있답니다. 다미원이 선보이는 안전한 수산물, 컬리에서 만나보세요.",seafood
2,[KF365] 국산 손질 꽃게 500g,"12,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/688e864d-ee79-4e44-be91-0d0d6213c85a.jpg",한결 간편해지는 꽃게 요리,2,컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g,상품설명/상세정보 참조,- 게 함유,수령일 포함 180일 이상 남은 제품을 보내 드립니다. (총 유통기한 365일),"한결 간편해지는 꽃게 요리
[KF365]
국산 손질 꽃게
신선하고 맛 좋은 꽃게, KF365를 통해 합리적인 가격으로 만나보세요. 국산 꽃게의 내장과 아가미를 깔끔하게 제거한 후 반으로 잘라 급속 냉동했어요. 그 덕분에 신선함이 유지되고 필요할 때마다 꺼내 쓰기도 간편하답니다. 시원한 국물 맛을 위한 육수부터 해물탕, 찌개, 라면까지 다양한 방법으로 요리해 보세요. 소포장으로 담아 부담 없이 즐길 수 있어 더욱 만족스러울 거예요.
Kurly's Check Point
Kurly’s Tip
보관법
?-18℃ 이하에서 냉동 보관하세요.",seafood
3,[만선] 국산 오만둥이 200g (생물),"9,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/026d4379-0047-4957-8817-7a812a3d842d.jpg",꼬독꼬독 매력적인 식감,3,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국산,"-본 제품은 알러지 유발물질인 고등어, 새우, 오징어, 게, 조개류(굴, 전복, 홍합)를 사용한 제품과 같은 시설에서 제조",수령 후 가급적 빠른 섭취 부탁드립니다.,"꼬독꼬독 매력적인 식감
[만선] 국산 오만둥이
오만둥이는 맛과 모양새가 미더덕과 비슷한 해산물로 잘 알려져 있는데요. 미더덕보다 껍질이 더 단단하면서도 두꺼워서 오독오독한 식감이 일품이에요. 그 덕에 씹는 맛이 필요한 해물찜과 같은 각종 찜 요리에 자주 활용되죠. 만선이 가정에서도 손쉽게 사용할 수 있도록 국산 오만둥이를 생물 상태로 준비했어요. 해물 된장찌개는 물론이고, 잘게 썰어 비빔밥이나 무침으로도 만들어 보세요. 소용량으로 보내 드리니, 부담 없이 사용하기 좋을 거예요.
Kurly's Check Point
Kurly’s Tip
구입 전 참고사항
?원물 특성상 크기와 모양이 조금씩 다를 수 있으며, 중량을 기준으로 보내드리니 구매에 참고하세요.
보관법
?0~10℃에서 냉장 보관하세요.
손질법
1. 오만둥이를 담은 그릇에 굵은 소금을 넣고 1~2차례 바락바락 문질러 씻어주세요.
2. 흐르는 찬물에 깨끗이 씻은 후, 채에 받쳐 물기를 빼 주세요.
3. 씻은 오만둥이는 취향에 따라 미리 반을 갈라 내부의 물을 빼주거나, 별도의 손질 없이 그대로 요리에 넣어 사용하세요.",seafood
4,[만선] 국산 미더덕 200g (생물),"8,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/943ce007-a503-4bc9-8119-cab89e55f6df.jpg",오도독 독특한 식감,4,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국산,"-본 제품은 알러지 유발물질인 고등어, 새우, 오징어, 게, 조개류(굴, 전복, 홍합)를 사용한 제품과 같은 시설에서 제조",수령 후 가급적 빠른 섭취 부탁드립니다.,"오도독 독특한 식감
[만선] 국산 미더덕
도토리를 닮은 듯 재미난 모양의 미더덕. 입안에서 톡톡 터지며 산뜻한 바다 내음이 가득 느껴지는 해산물인데요. 오도독 오도독 씹히는 식감까지 독특해서 탄탄한 마니아층을 보유하고 있죠. 만선에서 싱싱한 국산 미더덕을 엄선하여 부담 없는 소용량으로 준비했어요. 구수한 된장찌개부터 콩나물을 듬뿍 넣은 해물찜까지 두루 활용해 보세요. 독보적인 향과 맛, 꼬독꼬독한 식감으로 입맛을 제대로 돋워줄 거예요.
Kurly's Check Point
Kurly’s Tip
구입 전 참고사항
?원물 특성상 크기와 모양이 조금씩 다를 수 있으며, 중량을 기준으로 보내드리니 구매에 참고하세요.
보관법
?0~10℃에서 냉장 보관하세요.
유의사항
?이쑤시개 등 뾰족한 것으로 미더덕을 살짝 찔러 물을 조금 뺀 뒤 요리에 사용하세요. 그럼 입천장을 델 염려가 조금 줄어들 거예요.",seafood
5,[삼삼물산] 손질된 통영멍게 150g 내외 (생물),"5,780","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/164619826932l0.jpg",생물 멍게로 즐기는 바다의 향기,5,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,150g내외,국산,수령 후 가급적 빠른 섭취 부탁드립니다,산지 사정에 따라 예고없이 판매가격이 변동될 수 있습니다.,"생물 멍게로 즐기는 바다의 향기
[삼삼물산] 손질된 통영 멍게
통통한 멍게는 입에 넣고 살짝 씹기만 해도 바다의 향이 톡 터져 나오죠. 삼삼물산은 통영과 거제 인근에서 양식한 멍게를 깔끔히 손질해 담았습니다. 세척과 손질 과정에서 냉각 해수만 사용하기에 신선함도 그대로 살아 있어요. 가볍게 헹군 후 초장에 살짝 찍어 향기와 식감을 즐겨보세요. 소포장 제품이라 혼자서 넉넉하게, 혹은 둘이서 알뜰히 먹을 수 있답니다.
Kurly's Check Point
Kurly’s Tip
구입 전 참고사항
?멍게 초회로 즐긴다면 넉넉한 1인분, 멍게 비빔밥이나 솥밥은 2인분 정도 만들 수 있는 양이에요.
?가족수, 쓰임새에 따라 수량을 조절하여 구입하세요.
보관법
?수령 즉시 냉장실에서 보관하세요.
세척법
?체에 옮겨 담고 흐르는 물에 살짝만 헹궈주세요.
?세게 문지르거나 오래 씻으면 멍게의 향이나 맛이 날아갈 수 있어요.",seafood
6,[은하수산] 도다리 세꼬시 120g (냉장),"10,450","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/0df3f6ed-eea1-40bb-a76c-847554c0ae25.jpg",뼈째 즐기는 도다리,6,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,120g,상품설명/상세정보 참조,"-도다리: 본 제품은 대두, 밀, 고등어, 오징어, 새우, 게, 조개류(굴, 전복, 홍합 포함), 돼지고기, 닭고기, 쇠고기를 사용한 제품과 같은 제조시설에서 제조
-The 맛있는 초고추장: 본 제품은 계란, 우유, 메밀, 땅콩, 대두, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조
-갈아만든 생와사비: 본 제품은 난류, 우유, 메밀, 땅콩, 대두, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조
-사시미간장소스: 대두, 밀, 함유
본 제품은 난류, 우유, 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣 등을 사용한 제품과 같은 제조시설에서 제조",수령 후 가급적 빠른 섭취 부탁 드립니다,"뼈째 즐기는 도다리
[은하수산] 도다리 세꼬시
단백질을 다량 함유하고 있는 고급 횟감 도다리는 쫄깃쫄깃한 식감과 담백한 맛이 으뜸인 생선인데요. 주로 도다리로 쑥국, 미역국을 끓여 먹지만 세꼬시로 그대로 즐겨도 그 맛이 일품이에요. 거칠지 않게 부드럽게 씹히는 뼈와 살의 찰진 맛이 고소하기가 이를 데 없지요. 싱싱한 상태의 활어를 깨끗하게 손질 후, 냉장 저온 숙성하여 감칠맛과 풍미를 더했어요. 초고추장이 함께 동봉되어 있어 간편하게 즐기기 좋답니다. 도다리 세꼬시가 전하는 풍부한 식감에 금세 매료될 거예요.
Kurly's Check Point
Kurly’s Pick
도다리 세꼬시
?중량 : 1팩(120g)
?구성 : ①도다리 세꼬시 1팩, ②청귤 초고추장 1개
?유의사항 : 신선식품이니 가능한 한 수령 당일에 드시는 것이 좋아요.
?보관법 : 0~10℃에서 냉장 보관하세요.
Kurly’s Tip
경상도식으로 맛보는 숙성회
?와사비를 섞은 간장과 초장도 좋지만, 경상도식 막장과 함께 먹는 회의 맛도 각별해요.
?된장 2큰술, 고추장 1큰술, 다진마늘 1큰술을 섞고 참기름을 약간 뿌려주세요. 매콤하게 먹고 싶다면, 고추를 다지거나 어슷 썰어 넣어도 좋아요.
?감칠맛을 더할 때는 물엿이나 사이다를 약간 넣고, 고소하게 즐기고 싶을 땐 부순 견과류나 미숫가루를 섞어보세요.
구매 전 참고사항
?본 제품은 뼈째 먹을 때 더욱 고소한 풍미가 있는 도다리의 특성에 맞추어 세꼬시로 썰어낸 회입니다.
숙성회 맛있게 즐기기
?와사비 간장이나 초장에 곁들여 깔끔하게 드세요.
?단촛물로 간을 한 밥에 와사비와 숙성회를 올려 초밥으로 즐겨보세요.
?따끈한 밥에 숙성회와 각종 야채를 고루 넣고 초고추장에 비벼 회덮밥으로 매콤하게 맛보세요.
?냉면 육수나 동치미 국물에 매콤한 양념을 풀고 숙성회를 얹어 시원하게 물회로 즐겨도 좋아요.",seafood
7,[덕화명란] 송알송알 반반명란 200g (냉장),"10,320","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/08e63641-756d-442e-be46-2fc5d8469516.jpg",용도에 따라 활용하는 두 가지 명란,7,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,상품설명/상세정보 참조,"- 우유, 대두, 밀 함유
 - 계란, 고등어, 토마토, 쇠고기, 닭고기 ,조개류(굴) 혼입 가능",수령 후 가급적 빠른 섭취 부탁 드립니다,"용도에 따라 활용하는 두 가지 명란
[덕화명란]
송알송알 반반명란
명란을 좋아하는 분이라면, 덕화명란을 한 번쯤은 들어보셨을 거예요. 지속 가능한 어업을 통해 어획한 명태에서 신선한 명란을 선별하는 것은 물론, 장석준 명장의 발효 숙성 공법으로 깊은 감칠맛을 지닌 명란젓을 만들고 있지요. 지금 소개하는 송알송알 반반명란은 송송 썬 명란과 온명란, 두 가지 형태의 명란젓을 한 번에 담은 제품이에요. 온명란은 정갈하게 담아 반찬으로 내기에 적합하고요. 껍질을 제거해 둔 명란은 소량씩 떠서 요리에 바로 사용할 수 있지요. 용도에 맞게 선택하여 다채롭게 활용해 보세요.
Kurly's Check Point
Kurly’s Tip
구입 전 참고하세요
?총 중량에 맞게 담아 보내드리는 제품입니다. 중량에 따라 명란의 개수나 크기에 차이가 있음을 알려드려요
이렇게 보관하세요
?0~10℃ 이하의 냉장실에 보관하세요.",seafood
8,[이호] 손질 봄 도다리 2마리 360~460g (생물),"10,700","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/85f156d0-4df3-43fe-b620-769f3e04efdf.jpg",봄소식과 함께 등장하는 생선,8,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,360~460g,국내산,"- 본 제품은 고등어, 새우, 게, 오징어, 조개류(굴, 전복, 홍합 등)를 이용한 제품과 같은 시설에서 제조",수령 후 가급적 빠른 섭취 부탁드립니다.,"봄소식과 함께 등장하는 생선
[이호] 손질 봄 도다리
따뜻한 봄소식과 함께 등장하는 생선이 있지요. 담백한 맛과 부드러운 식감이 일품인 도다리입니다. 이호는 내장과 비늘을 깔끔하게 제거해 둔 손질 도다리를 준비했어요. 신선한 냉장 상태 그대로 보내드리니, 흐르는 물에 살짝 헹구어 요리에 곧바로 사용할 수 있지요. 두 마리를 담았으니 고소한 도다리 구이부터 향긋한 쑥국까지 다채롭게 활용해 보세요. 봄 내음이 가득한 밥상이 금세 완성될 거예요.
Kurly's Check Point
Kurly’s Tip
구입 전 참고하세요
?생물 특성상 크기와 모양이 조금씩 다를 수 있어요. 중량을 기준으로 보내드리니 구매에 참고하세요.
이렇게 보관하세요
?0~10℃에서 냉장 보관하세요.
도다리와 가자미를 비교해 보세요
?도다리 : 가자미에 비해 넓적한 형태를 띠고 있으며, 살이 더 부드럽게 풀리는 편이에요. 구이나 탕 요리에 잘 어울립니다.
?가자미 : 도다리보다 폭이 덜 넓적하고 식감도 조금 더 단단한 편이에요. 도다리에 비해 살이 덜 부서지니 조림용으로 쓰기 좋을 거예요.
Kurly’s Recipe
도다리 쑥국
재료
도다리 1마리, 쑥 100g, 무 40g, 된장 1큰술, 청고추 1개,홍고추 1개, 다진마늘 1큰술, 대파 1대, 다시팩 1개, 쌀뜨물 6C, 소금 약간, 국간장 약간
RECIPE
1. 도다리는 간단히 세척하여 지느러미와 꼬리를 자르고 3~4등분 한다.
2. 쑥은 잎 위주로 뗀 후 깨끗이 씻어 체에 물기를 뺀다.
3. 무는 네모 모양으로 썰고, 홍고추와 청고추, 파는 어슷 썬다.
4. 쌀뜨물에 된장을 풀고, 다시 팩과 무, 도다리 머리 부분을 넣고 끓인다.
5. 끓으면 다시팩을 건져내고, 남은 도다리를 넣어 끓인 후 소금과 국간장으로 간한다.
6. 도다리가 거의 익으면, 다진 마늘과 대파, 고추를 넣고 끓이다가 마지막에 쑥을 넣어 끓여준다.",seafood
9,[앤쿡] 어린이 순살 연어 큐브 100g*3팩 (냉동),"15,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/755ae5b7-a38e-4bb5-bc5d-8599e1063b15.jpg",아이 반찬을 위한 만능 재료,9,컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1봉(100g*3팩),300g,상품설명/상세정보 참조,"- 본 제품은 우유, 대두, 밀, 게, 새우, 고등어, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함)를 사용한 제품과 같은 시설에서 제조",수령일 포함 최소 185일 남은 제품을 보내드립니다.(총 유통기한 365일),"아이 반찬을 위한 만능 재료
[앤쿡]
어린이 순살 연어 큐브
아이를 위한 영양만점 반찬을 고민하고 계셨다면, 어린이 순살 연어 큐브를 사용해 보세요. 신선한 노르웨이산 연어의 잔가시를 하나하나 제거하고, 아이의 입에 딱 맞도록 큐브 모양으로 잘라 담았어요. 소금 간을 따로 하지 않아, 요리하며 간을 조절할 수 있지요. 한 번에 먹기 좋은 양으로 소포장했으니, 필요할 때마다 하나씩 꺼내 사용해 보세요. 이유식부터 볶음밥, 간장 조림 등 다채롭게 변신이 가능하답니다.
Kurly's Check Point
Kurly’s Pick
어린이 순살 연어 큐브
?중량 : 1봉(100g X 3팩)
?특징 : 순살 연어를 한 입크기로 손질해 담았어요. 다양한 요리에 간편하게 활용하기 좋습니다.
Kurly’s Tip
이렇게 보관 및 해동하세요
?-18℃ 이하에서 냉동 보관하세요.
?냉동 상태의 연어를 포장된 채로 냉장실에 두고 충분히 해동하세요.
구입 전 참고하세요
?연어의 가시를 제거했으나, 일부 잔가시가 남아 있을 수 있으니 섭취 시 주의해주세요.",seafood
