,item_name,price,item_img,sub_title,info_img,seller,package_type,package_detail,sell_unit,weight,origin,allergy,warning,item_detail,category
0,유레카 블루베리 100g (특) (국산),"13,990","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1651224880429l0.jpg",큼지막한 사이즈를 자랑하는,0,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,100g내외,국산,농산물이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,"상품 특성상 중량에 3%내외의 차이가 있을 수 있습니다.
신선식품 특성상 원물마다 크기 및 형태가 일정하지 않을 수 있습니다.","큼지막한 사이즈를 자랑하는
유레카 블루베리 (특)
'블루베리'하면, 앙증맞은 크기의 보랏빛 열매가 떠오르실 텐데요. 지금 선보이는 유레카 블루베리는 일반 블루베리와 비교되는 남다른 사이즈를 자랑합니다. 큼직하고 탱탱한 과육을 바라보다 보면 검붉은 포도알이 연상되기도 하죠. 유레카 블루베리는 호주에서 육성한 신품종으로, 단단하고 아삭거리는 식감과 달콤한 과즙이 단연 돋보이는데요. 컬리는 국내 농가에서 깨끗하고 안전하게 수확한 블루베리를 준비했답니다. '유레카'란 이름에 걸맞게 감탄사가 절로 나오는 싱그러운 과육의 맛을 경험하세요.
Kurly's Check Point
Kurly’s Tip
사이즈 안내
?유레카 블루베리는 비교적 사이즈가 큰 품종이에요. 15mm 이상의 (특)사이즈로 선별해 보내 드립니다.
?중량 기준으로 보내드리는 상품이에요. 원물의 총 개수, 형태는 조금씩 다를 수 있음을 알려드립니다.
활용팁
?요거트, 치즈케이크, 샐러드 위에 토핑으로 올려보세요. 우유와 함께 갈아 스무디로 즐겨도 좋아요.
?고기 양념에 설탕 대신 블루베리를 갈아 넣어보세요. 잡내를 꽉 잡아줄 뿐만 아니라, 자연스러운 단맛까지 더해줄 거예요.
보관법
?블루베리가 담긴 포장 용기째로 냉장실에 두어 보관하세요.
?세척 후 보관하는 경우, 물기가 남아있지 않도록 키친타월을 깔고 냉장 보관하세요.
?오래 보관하고 싶다면, 세척한 블루베리를 밀폐 용기에 담아 냉동 보관하세요.
세척법
1. 흐르는 물로 가볍게 헹궈주세요. 물에 오래 담가두거나 문질러 세척하게 되면, 블루베리 특유의 맛과 향이 쉽게 사라질 수 있어요.
2. 세척 후에는 키친타월로 물기를 톡톡 닦아주세요.",fruit
1,유명산지 설향딸기 500g,"8,990","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1608801577622l0.jpg",유명산지에서 전하는 제철 딸기,1,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g내외,국산,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,9.2 Brix 이상,"유명산지에서 전하는 제철 딸기
유명산지 딸기
붉게 잘 영근 딸기로 이 계절을 더 향긋하게 물들여보세요. 국내 딸기 유명산지에서 그때 그때 더 맛있고 품질 좋은 딸기를 골라 싱싱하게 보내드릴게요. 딸기 중에서도 우리나라를 대표하는 '설향' 품종으로 준비했는데요. 통통하고 야무진 모양의 설향은 시원하면서도 상쾌한 단맛을 안겨준답니다. 신선하게 드실 수 있는 양으로 보내드릴테니 함뿍 배어 나오는 새콤달콤한 과즙을 즐겨보세요.

Kurly's Check Point
Kurly’s Tip
중량을 확인하세요
?신선식품 특성상 원물마다 형태 및 사이즈, 총 수량이 조금씩 다를 수 있어요. 단, 총 중량은 500g으로 동일합니다.
과육이 쉽게 무를 수 있어요
?딸기 원물 특성상 간혹 표면이 눌리거나 짓무른 채 배송될 수 있어요. 제품 신선도와 품질에는 이상이 없는 점 알려드립니다.
?오래 놔두면 과육이 쉽게 터지거나 무를 수 있으니, 가급적 수령 직후에 바로 섭취해 주세요.
이렇게 배송해 드려요
?1단 포장 : 2단 포장 시 아랫단의 딸기가 눌리는 현상을 예방하고자 1단 포장을 시행하고 있어요.
이렇게 보관하세요
1. 짓무르거나 멍이 든 딸기가 있는지 확인하세요.
2. 밀폐용기 바닥에 키친타월을 한 겹 깔아주세요.
3. 딸기를 세척하지 않은 상태로, 꼭지가 아래를 향하도록 나란히 세워주세요.
4. 딸기끼리 서로 닿지 않도록 키친타월로 칸막이를 만들어주세요.
5. 밀폐용기 뚜껑을 닫지 말고, 키친타월만 살짝 덮어준 상태에서 냉장 보관하세요.
이렇게 세척하세요
?흐르는 물로 가볍게 헹궈 바로 드세요. 물에 오래 담가두었다가 섭취할 경우 딸기 특유의 맛과 향, 영양소가 파괴될 수 있습니다.
?베이킹 소다, 과일 세정제 등을 푼 물에 살짝 담갔다가 꺼낸 뒤 흐르는 물로 헹궈주셔도 좋아요.
Kurly’s Note",fruit
2,[KF365] DOLE 실속 바나나 1kg (필리핀),"3,700","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165303902534l0.jpg","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",2,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1봉,1kg 내외,필리핀,신선식품으로 별도의 유통기한은 없으나 최대한 빠른 섭취 부탁드립니다,"수분이 있는 과일의 특성상 약 3%내외의 중량 차이가 있을 수 있습니다.
사진 상에는 비닐 포장으로 되어있으나, 종이 띠로 포장된 상품을 받아보실 수 있습니다. 재활용이 용이한 포장으로 변경하기 위함으로써, 안의 내용물은 기존과 동일한 바나나임을 안내 드립니다
배송 시기에 따라 원물 껍질, 특히 꼭지 부분에 종종 초록빛이 감돌 수 있어요. 과숙을 방지하고자 덜 익은 웜물 위주로 선별해 보내드리기 때문입니다. 취향에 맞게 후숙시킨 뒤 섭취하세요.","매일 즐기는 달콤한 포만감
DOLE 실속 바나나
다양한 과일 중, 가장 풍성하고 흐뭇한 맛을 선사하는 건 역시 바나나가 아닐까 해요. 달콤한 내음과 부드러운 식감, 입안을 가득 채우는 과육의 만족감은 잘 익은 바나나만이 줄 수 있는 행복이죠. 허기를 달래는 간식으로, 간편한 식사 대용으로도 좋은 Dole의 실속 바나나를 준비했습니다. 현지 농장에서 정성스레 재배한 원물은 한국 전용선박과 부두를 통해 들어와 신선함을 유지하고 있지요. 원하는 만큼 후숙 후 녹진한 달콤함을 가득히 누려보세요.
Kurly's Check Point
Kurly’s Tip
덜 익은 원물이 배송될 수 있어요
? 배송 시기에 따라 원물 껍질, 특히 꼭지 부분에 종종 초록빛이 감돌 수 있어요. 과숙을 방지하고자 덜 익은 원물 위주로 선별해 보내드리기 때문이에요. 취향에 맞게 후숙시킨 뒤 섭취하세요.
겉모습이 투박해 보일 수 있어요
? 껍질이 부드러워 멍이 쉽게 드는 바나나 특성상 일부 원물 표면에 스크래치나 멍, 후숙 과정에서 올라오는 슈가 스팟이 발견될 수 있어요. 배송 중 생긴 상처가 아니며, 맛과 품질에는 이상이 없으니 안심하고 섭취하세요.
이물질이 아니에요
? 사진과 같이, 바나나 아랫부분의 검은색 꼭지에 간혹 흰색 가루가 묻어있을 수 있어요. 이는 바나나 나무의 꽃가루이며, 배송 과정 중 묻은 이물질이 아닌 점 알려드립니다.
이렇게 후숙 및 보관하세요
? 바나나는 후숙 과일이에요. 초록빛이 도는 원물 수령 시, 상온에 1~3일 정도 두어 후숙하세요.
Tip. 꼭지가 노란빛을 띠거나 검은 반점(슈가 스팟)이 올라올 때까지 후숙하면 달콤하게 즐길 수 있어요.
? 후숙 시 일부 바나나 껍질이 반으로 갈라질 수 있어요. 원물이 익으면서 생기는 자연스러운 현상이니 참고하세요.
? 바나나는 냉장 보관 시 수분이 빠지면서 푸석해질 수 있어요. 과일 표면이 지면이나 벽에 닿지 않도록 걸어서 보관하면 더 오래 신선함을 유지할 수 있답니다.
About Brand
눈여겨보고 다니지 않아도 누구나 한 번쯤은 접했을 법한 브랜드, 바로 DOLE입니다. 흔히 보인다는 것은 누구나 그 품질과 맛을 인정하고 자주 찾는다는 의미와 일맥상통하죠. DOLE이 이렇게 많은 사랑을 받는 이유는 설립자인 제임스 돌(James Dole)이 가진 품질제일주의에 대한 고집 덕분이에요. 고객에게 신선하고 품질 좋은 제품을 전달하겠다는 그의 이념은 DOLE의 체계적인 생산 시스템을 완성하는 바탕이 되었습니다. 업계의 선두주자로 자리매김한 DOLE은 그간 받아온 사랑에 보답하기 위해 다양한 공익 캠페인을 진행하는 등 노력을 기울이고 있습니다.",fruit
3,친환경 설향 딸기 500g,"10,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1609229005799l0.jpg",촉촉하게 번지는 새콤달콤함,3,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g 내외,국내,농산물로 별도의 유통기한은 없으나 가급적 빨리 섭취를 권장드립니다.,9.9 Brix 이상,"촉촉하게 번지는 새콤달콤함
친환경 설향 딸기
살짝만 베어 물어도 입안 가득 상큼함이 번지는 새빨간 과일. 지금부터 봄까지 열심히 먹어야 하는 딸기입니다. 컬리는 국내에서 재배 중인 다양한 딸기 품종들을 차례로 선보입니다. 그중에서도 우리나라를 대표하는 딸기 품종 '설향'을 소개할게요. 통통하고 야무진 생김새를 지닌 설향은 과즙이 풍부하고, 상쾌하면서도 시원한 단맛을 뽐내는데요. 화학약품이나 농약 사용 없이, 벌통을 설치한 하우스 안에서 수정하고 재배했기에 더욱 깨끗하고 안전하답니다. 입안 가득 퍼지는 딸기의 새콤달콤한 향미를 마음껏 즐겨보세요.
Kurly's Check Point
Kurly’s Tip
중량 기준으로 보내드려요
?신선식품 특성상 제품마다 원물의 크기 및 형태, 총 수량이 조금씩 다를 수 있으나 전체 중량은 500g 내외로 동일합니다.
과육이 쉽게 무를 수 있어요
?딸기 원물 특성상 간혹 표면이 눌리거나 짓무른 채 배송될 수 있어요. 제품 신선도와 품질에는 이상이 없는 점 알려드립니다.
?오래 놔두면 과육이 쉽게 터지거나 무를 수 있으니, 가급적 수령 직후에 바로 섭취해 주세요.
이렇게 배송해 드려요
?1단 포장 : 2단 포장 시 아랫단의 딸기가 눌리는 현상을 예방하고자 1단 포장을 시행하고 있어요.
?스티로폼 패킹 : 얇은 스티로폼 커버를 바닥과 딸기 사이에 넣어 짓무름을 방지하고 있어요.
이렇게 보관하세요
1. 짓무르거나 멍이 든 딸기가 있는지 확인하세요.
2. 밀폐용기 바닥에 키친타월을 한 겹 깔아주세요.
3. 딸기를 세척하지 않은 상태로, 꼭지가 아래를 향하도록 나란히 세워주세요.
4. 딸기끼리 서로 닿지 않도록 키친타월로 칸막이를 만들어주세요.
5. 밀폐용기 뚜껑을 닫지 말고, 키친타월만 살짝 덮어준 상태에서 냉장 보관하세요.
이렇게 세척하세요
?흐르는 물로 가볍게 헹궈주세요. 물에 오래 담가두거나 문질러 세척하면 딸기 특유의 맛과 향, 영양소가 쉽게 파괴될 수 있습니다.
?베이킹소다, 과일 세정제 등을 푼 물에 담갔다가 꺼내 흐르는 물로 헹궈주셔도 좋아요.
Kurly’s Note",fruit
4,[KF365] 유명산지 고당도사과 1.5kg (5~6입),"12,900","https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/b573ba85-9bfa-433b-bafc-3356b081440b.jpg",아삭아삭 달콤한 제철과일,4,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1.5kg 내외,국산,신선식품이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,14.3 Brix 이상,"아삭아삭 달콤한 제철 과일
유명산지 고당도 사과
아무리 친근한 과일이라도 맛이 없으면 즐겨 먹을 수 없겠죠. 컬리가 가장 맛있는 상태의 고당도 사과를 엄선해왔습니다. 전국 각지 맛 좋은 사과를 생산하는 지역을 찾아 공수해왔어요. 당도 13brix 이상의 달콤한 사과로 선별해 문 앞까지 전해 드린답니다. 깨끗이 씻어 껍질째 베어 물어도 좋고, 주스나 샐러드 토핑으로도 활용해 보세요. 아삭아삭한 식감과 산뜻한 단맛이 기분까지 좋게 만들어줄 거예요.
Kurly's Check Point
Kurly’s Tip
보관법
?키친타월이나 랩으로 감싼 뒤 냉장 보관하세요. 가급적 빠른 시일 내에 드셔야 사과의 맛을 제대로 느낄 수 있어요.
Tip. 사과의 에틸렌 성분이 다른 채소와 과일의 숙성을 촉진시킬 우려가 있으므로 되도록 분리해서 보관하세요.
세척법
?베이킹소다, 과일세정제 등을 푼 물에 담갔다가 꺼내 흐르는 물로 깨끗하게 세척하세요.
Tip. 세척 후 마른 수건 등으로 표면을 잘 닦아주세요. 여러 번 닦아내면 표면에 광택이 자르르 흐르는 모습을 확인할 수 있어요.
Kurly’s Note",fruit
5,땅끝 해남 쌀 10kg,"29,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1640675139675l0.jpg",해남에서 온 건강한 밥맛,5,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포대,10kg,국산,신선식품으로 별도의 유통기한은 없습니다.,"상품의 특성상 상품의 중량의 3% 내외의 차이가 발생할 수 있습니다.
22년산 입니다.","해남에서 온 건강한 밥맛
땅끝 해남 쌀
깨끗한 물과 풍성한 햇빛이 어우러진 해남, 땅끝에서 전해온 첫사랑 백미를 소개할게요. 비옥한 간척지에서 길러낸 국내산 쌀을 혼합 품종으로 담아냈어요. 적당한 찰기와 씹는 맛, 여기에 은은하게 번지는 달짝지근함까지 갖췄습니다. 따끈하게 밥으로 지어내면, 부드러운 밥맛을 전해줄 거랍니다. 넉넉하게 두고 드시기 좋은 양으로 준비했으니, 편안하게 두고 먹는 쌀로 담아가 보세요.
Kurly's Check Point
Kurly’s Tip
보관법
?쌀은 신선식품이예요. 개봉 후에는 반드시 밀폐 가능한 용기에 옮겨 보관하세요.
?직사광선과 습기를 피해 서늘한 곳에서 보관하세요. 장기 보관 시에는 반드시 냉장 또는 냉동 보관해 주세요.
Tip. 잘 건조된 고추, 마늘, 사과 등을 함께 보관하면 쌀의 신선도 유지에 도움을 줄 수 있어요.
조리법
1. 쌀을 씻은 후 물의 양은 1.3배로 잡아주세요.
2. 하절기에는 30분, 동절기에는 40분 정도 불려주세요.
3. 처음에는 중약불로 끓여주다가, 물이 졸아들었을 때 약불로 줄여주세요.
4. 불을 내린 뒤 10~15분 정도 뜸을 들인 후 주걱으로 휘저어 주세요.",fruit
6,[귤림원] 당도선별 GAP 하우스 감귤 1kg,"9,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653038898692l0.jpeg",기분 좋은 주황빛 달콤함,6,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,국산,농산물이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,12 Brix 이상,"기분 좋은 주황빛 달콤함
[귤림원]
당도선별 GAP 하우스 감귤
하나씩 까먹다 보면 금세 빈 바구니를 보곤 하는 과일, 바로 감귤이죠. 상큼달콤한 귤을 조금 더 만나보고 싶으신 분이라면, 귤림원의 감귤을 선택해보세요. 당도 11brix 이상의 귤을 꼼꼼하게 선별하여 담아냈어요. 덕분에 산뜻하고 기분 좋은 향을 느낄 수 있답니다. 생과일은 물론, 디저트의 토핑으로도 제격일 거에요.
Kurly's Check Point
Kurly’s Tip
구입 전 참고사항
?신선제품 특성상 제품마다 크기, 형태 및 모양이 조금씩 다를 수 있습니다.
보관법
?신맛이 강하다면 실온에서 1~2일 정도 후숙한 뒤 드세요.
?통풍이 잘 되고 서늘한 곳에 보관하세요.
Tip. 귤이 서로 맞닿지 않도록 신문지나 키친타월 등으로 감싸주세요. 껍질이 무르지 않고 더욱 오래 보관할 수 있어요.
세척법
?베이킹소다, 과일 세정제를 푼 물에 가볍게 담갔다가 꺼내 흐르는 물로 세척해 주세요.",fruit
7,조선향미 8kg,"45,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637922242952l0.jpeg",삼시세끼 넉넉하게 즐길 수 있는 고품격 쌀밥 22년산쌀,7,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포,8kg,국산,농산물로 별도 유통기한은 없으나 개봉 후 가급적 빠르게 드시기 바랍니다,식품 특성상 중량은 3%내외의 차이가 발생할 수 있습니다.,"삼시세끼 넉넉히 즐기는 고품격 쌀밥
조선향미 8kg
조선향미는 밥 짓는 냄새만 맡아도 바로 알아챌 수 있을 만큼 팝콘처럼 구수한 특유의 향을 자랑하지요. 찰지고 윤기가 차르르 도는 밥맛이 그리운 날 조선향미로 특별히 밥을 지어 먹곤 하다가, 어느새 조선향미에 완전히 정착하게 된 집도 있을 거예요. 컬리는 주식으로 먹는 조선향미를 작은 용량으로 자주 구비하기 번거로웠을 분들을 위해 8kg 대용량 제품을 선보입니다. 마음까지 넉넉해지는 대용량 제품을 주방에 들여놓고, 그 자체로 품격있는 쌀밥을 마음껏 즐겨보세요.
Kurly's Check Point
고품격 쌀, 조선향미
우리는 예부터 유독 쌀밥과 인연이 깊습니다. 국내 요리만화의 기념비적인 작품 <식객>에는 ‘밥상의 주인은 밥이다’라는 표현이 등장하는데 어찌나 공감이 되던지요. 오늘의 주인공 조선향미는 우수한 향 유전자를 가진 벼와, 품질이 높은 쌀의 품종을 육성한 고기능성 제품이에요. 20년 넘게 밥맛의 질을 높이기 위한 고민들이 모여 훌륭한 쌀을 빚어냈어요. 특허등록과 품종보호권 등록까지 모두 마친 양질미 단일 품종이라 더욱 안심하고 드실 수 있습니다.
Kurly’s Pick
조선향미 8kg
?중량 : 1포대(8kg)
?특징 : 국내에서 재배한 조선향미 골든퀸 3호입니다. 8kg 대용량으로 구성한 제품이에요.
?보관법 : 조선향미의 향과 식감을 유지하기 위해서 개봉한 쌀은 냉장고 또는 서늘한 곳에 보관해주세요.
Kurly’s Tip
조선향미 맛있게 즐기기
?일반 쌀로 밥을 지을 땐 보통 손등까지 물이 차게 하지만, 조선향미는 손가락 마디 관절까지만 물을 넣습니다. 중소립종으로 쌀알이 타 품종보다 작고 균일하므로, 10~15% 정도 물을 적게 넣어야 해요. 또한 오래 불리지 않아도 맛있습니다.
?특별한 반찬 없이 김 위에 올려 간장만 살짝 찍어 먹어도 맛있어요.
Kurly’s Note
<반유십이합설(盤有十二合設)>의 저자,
청나라 학자 장영(張英)과의 가상 인터뷰
“조선 사람들은 밥을 잘 짓는다. 밥알이 윤기가 있고 부드러우며 향긋하고 고루 익어 기름지다. 밥을 지을 때는 불을 약하게 하고 물은 적게 부어야 한다. 아무렇게나 밥을 짓는다는 것은 하늘이 내려 준 물건을 낭비하는 것이다”
<반유십이합설>中

Q. 안녕하세요. 간단히 소개 부탁드립니다.
A. 안녕하세요, 여러분. ‘밥을 맛있게 먹는 법’을 연구해온 장영입니다.

Q. 맛있고 즐거운 식사를 위한 열두 가지 조건을 제시하셨는데요. 어떤 내용들인가요?
A. 정확한 불 조절, 채소와 고기의 활용, 알맞은 그릇, 마음에 맞는 짝이 중요하다는 기록을 남겼습니다. 그중 밥을 맛있게 먹는 첫 번째 조건으로 가장 중요한 ‘쌀’을 꼽았지요. 기본에 충실한 것이야말로 최상의 맛을 느끼기 위한 첫걸음이니까요.

Q. 좋은 쌀의 기준이 되는 오늘의 제품, 조선향미에 대해 이야기해볼까요?
A. 조선향미의 하얀 윤기가 흐르는 쌀알은 취사 후에도 전분의 갈변과 노화가 늦어 밥이 누렇게 되지 않는 것이 특징이지요. 시간이 지나도 항상 윤기가 나며 밥이 식어도 굳지 않으니 이 제품의 강점으로 볼 수 있습니다.

Q. 좋은 쌀은 씻을 때부터 티가 나죠?
A. 그렇죠. 좋은 쌀은 씻을 때 그 소리가 아주 경쾌합니다. 조선향미를 잘 지어 먹어보면 부드럽게 톡톡 씹히는 기분 좋은 소리도 느끼실 수 있을 거예요.

Q. 쌀에도 향기가 있다고 하던데 좋은 쌀에선 어떤 향이 나나요?
A. 품질 좋은 쌀에서 풍기는 특유의 향이 있습니다. 조선향미는 구수하고 은은하게 옥수수 튀긴 향이 나는 데 중독성이 매우 강하지요.

Q. 밥을 씹을 때는 어떤 식감과 맛에 집중해야 할까요?
A. 갓 지은 밥을 씹을 때는 혀에서 느껴지는 특유의 감칠맛이 있지요. 특히, 조선향미의 경우에는 밥맛을 저하시기는 단백질 함량이 낮습니다. 저아밀로오스 찹쌀이 교배된 품종이라 씹을수록 탱탱한 식감이 살아있지요. (아밀로오스의 함량이 높을수록 찰기가 떨어집니다.)

Q. 조선향미를 맛보신 소감을 말씀해주시겠어요?
A. 조선 향미는 밥알들이 자연스레 어우러져 처음에는 단단하지만 씹을수록 부드러운 느낌을 받았습니다. 적당한 온도가 입안에 퍼지는 느낌이랄까요? 오감을 만족시키기에 충분한 쌀이었습니다.",fruit
8,청송 사과 1.5kg (5~7입),"11,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637924624422l0.jpeg",사과의 유명산지 청송에서 온 새콜달콤한 선물,8,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1봉,1.5kg 내외,국산,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,13.5 Brix 이상,"빨갛게 여문 사과의 참맛
청송 사과
전국의 사과 명산지 중에서도 경북 청송은 손꼽히는 지역입니다. 낙동강 상류의 깨끗한 물이 모여들고, 낮과 밤의 일교차가 큰 덕분에 달고 아삭한 사과가 자라나지요. 이름 높은 청송 사과를 컬리가 준비했습니다. 한 번에 꼭 먹기 좋은 크기의 부사로만 담았답니다. 사과의 고장에서 전해 온 달콤함, 새빨간 껍질을 사각하게 베어물어보세요.
Kurly's Check Point
Kurly’s Tip
안심하고 섭취하세요
?꼭지 주변이나 표면이 매끈하지 않을 수 있어요. 이는 재배 과정에서 나타나는 현상으로, 맛과 품질에는 이상이 없는 점 알려 드려요.
이렇게 보관하세요
?키친타월이나 랩으로 감싼 뒤 냉장 보관하세요. 가급적 빠른 시일 내에 드셔야 본연의 맛을 즐길 수 있습니다.
Tip. 사과의 에틸렌 성분이 다른 채소와 과일의 숙성을 촉진시킬 우려가 있으므로 되도록 분리해서 보관하세요.
이렇게 세척하세요
?베이킹소다, 과일 세정제 등을 푼 물에 담갔다가 꺼내 흐르는 물로 깨끗하게 세척하세요.
Kurly’s Note",fruit
9,[기획상품] 칠레산 블루베리 125g*3팩,"7,900","https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1640782744969l0.jpg",아삭하고 은은한 단맛이 일품인 베리류의 왕,9,컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,3팩묶음,125g*3팩,칠레,신선식품으로 별도의 유통기한은 없으나 최대한 빠른 섭취 부탁드립니다.,"신선식품으로 중량에 3% 내외의 차이가 있을 수 있습니다.
구매하시면, 125g 팩을 총 3팩 담아서 보내드립니다.
팩에 부착된 스티커가 서로 다른 상품을 받아보실 수 있습니다. 이는 수확 농장에 따라서 다르게 붙일 수 있으며, 같은 칠레산 블루베리 125g 상품임을 안내드립니다.","싱그러움이 살아있는
[기획상품]
칠레산 블루베리
빛을 받은 부분이 반질반질하게 빛나는 짙은 청색의 블루베리. 독특한 색깔과 새콤하면서도 달콤한 맛, 그리고 슈퍼푸드에 단 한 번도 빠지지 않고 선정되었다는 타이틀은 작은 블루베리를 다시 보게 만들어요. 컬리는 정성껏 재배한 칠레산 블루베리를 준비했는요. 블루베리 알이 잘 여물어 부드럽게 씹히는 식감이 좋답니다. 안토시아닌과 비타민E, 프테로스틸벤이 가득한 칠레산 블루베리를 생과로 즐겨보세요. 입안에 넣고 톡 깨물면 부드럽게 터져 나오는 과즙은 오직 생과로만 느낄 수 있는 특별함이죠.
Kurly’s Tip
맛과 영양 모두를 잡는 방법
? 블루베리에 풍부한 비타민E는 유지방과 함께 먹으면 흡수율이 높아져요.
? 반대로 유제품은 블루베리에 부족한 칼슘과 지방을 보충해주죠.
? 플레인 요거트나 치즈케익에 블루베리 토핑을 얹으면 맛과 영양 밸런스가 잘 맞아요.
냉동 보관 및 활용법
? 수령 후 2~3일이 넘으면, 살짝 씻어 물기를 말린 후 밀폐 용기에 소분해 냉동 보관해주세요.
? 블루베리를 우유와 함께 갈면 든든한 스무디로 마실 수 있어요.
? 고기 양념에 설탕 대신 갈아 넣으면 잡내를 제거해주고 단맛을 내줘요.
? 담백한 크래커와도 잘 어울리니, 치즈를 바르고 블루베리를 얹어 와인과 곁들여보세요.",fruit
