,item_num,rivew,rivew_date
0,0,"캠핑갈 때 마켓 컬리는 사랑입니당,,
캠핑장 근처에서 장보면 항상 비슷한 먹거리고 특별한 간식이 없어서 항상 마켓컬리에서 캠핑 전날 장을 봅니다! 이번에는 휘리릭 먹고싶은거 주문해놓고 캠핑 당일 아침에 배송받은 식재료 들고 캠핑 떠났는데 너무 편하더라구요. 
이번엔 몇일전부터 너무 먹고싶었던 크로플 + 블루베리 조합을 시도해 봤습니다. 그냥 먹어도 맛있지만 데코, 풍미를 위해서 역시 마켓컬리에서 주문한 휘핑크림, 메이플 시럽도 얹어서 먹었어요. 블루베리는 요즘 살짝 비싸져서 망설였지만 달고 맛있네요 ㅠ_ㅠ 상큼해서 크로플과 조화로워요.... 이렇게 한 상 차리니 같이 캠핑 간 지인들도 카페 저리가라며 좋아해줘서 뿌듯했답니당...
밖에서 먹는 음식은 뭐든 맛있지만 이렇게 예쁘게, 맛있게 해놓고 먹으니 더더욱 꿀맛!",2021.03.15
1,0,"대부분의 마켓컬리 상품을 신뢰하는 편이지만, 
블루베리는 실망감이 컸네요!
백원짜리 동전을 연상했는데 그정도는 아니구요
보통 블루베리보다 조금 큰 정도랄까. 맛은 괜찮았고,
100그램 양에 비해 가격이 너무 높다고 생각힙나다",2023.03.09
2,0,요즘 과일이 마땅치 않아 사봤어요. 먹을만해요,2022.06.15
3,0,블루베리 실하고 좋아요,2022.06.15
4,0,늘 느끼지만 값은 너무 비싼 데 양도 적고 가끔 곰팡이 냄새가 나는 것도 섞여 있어요. 조금만 더 신선도에 신경 써 주시기 바랍니다.,2022.06.15
5,0,아이가 좋아해서 자주사요,2022.06.14
6,0,아이가 좋아해요. 저는 먹지도 못하고ㅋ,2022.06.14
7,0,비싸지만 크고 달이서 품질이 좋아 자주구매,2022.06.14
8,0,크고 좋은데 세일상품 구매했더니 상태가좀..,2022.06.14
9,0,유레카 블루베이 어디갓나요,2022.06.14
